iter	Passed	Remaining
601	3945	2608
602	3951	2601
603	3956	2593
604	3961	2586
605	3967	2579
606	3972	2571
607	3980	2566
608	3987	2560
609	3994	2553
610	4000	2546
611	4007	2540
612	4016	2535
613	4024	2529
614	4030	2522
615	4035	2515
616	4043	2510
617	4049	2502
618	4055	2496
619	4060	2488
620	4066	2481
621	4072	2474
622	4077	2467
623	4082	2460
624	4088	2453
625	4094	2445
626	4099	2438
627	4104	2431
628	4110	2424
629	4115	2417
630	4121	2410
631	4126	2402
632	4132	2395
633	4137	2388
634	4142	2381
635	4148	2374
636	4154	2367
637	4161	2361
638	4168	2354
639	4176	2349
640	4181	2341
641	4186	2334
642	4193	2328
643	4198	2320
644	4203	2313
645	4210	2307
646	4216	2300
647	4223	2294
648	4228	2286
649	4234	2280
650	4240	2273
651	4245	2266
652	4251	2259
653	4256	2252
654	4262	2244
655	4267	2237
656	4272	2230
657	4277	2223
658	4283	2216
659	4289	2209
660	4294	2202
661	4300	2195
662	4305	2188
663	4310	2181
664	4315	2174
665	4322	2167
666	4328	2161
667	4335	2154
668	4342	2148
669	4347	2141
670	4353	2134
671	4361	2128
672	4366	2121
673	4371	2114
674	4378	2108
675	4388	2103
676	4395	2097
677	4400	2089
678	4408	2083
679	4413	2076
680	4418	2069
681	4424	2062
682	4429	2055
683	4434	2048
684	4439	2041
685	4445	2034
686	4450	2027
687	4455	2020
688	4460	2013
689	4465	2006
690	4471	1999
691	4477	1992
692	4482	1985
693	4488	1979
694	4497	1973
695	4503	1967
696	4510	1960
697	4516	1954
698	4521	1947
699	4527	1940
700	4533	1933
701	4538	1926
702	4544	1920
703	4551	1913
704	4558	1907
705	4564	1900
706	4569	1893
707	4577	1887
708	4582	1880
709	4588	1874
710	4593	1867
711	4599	1860
712	4604	1853
713	4609	1846
714	4614	1839
715	4620	1832
716	4625	1825
717	4630	1818
718	4636	1812
719	4641	1805
720	4646	1798
721	4652	1791
722	4657	1784
723	4662	1777
724	4668	1770
725	4675	1764
726	4681	1757
727	4687	1751
728	4695	1745
729	4704	1740
730	4711	1733
731	4718	1727
732	4724	1720
733	4730	1714
734	4735	1707
735	4741	1700
736	4746	1693
737	4752	1687
738	4758	1680
739	4763	1673
740	4771	1667
741	4777	1661
742	4782	1654
743	4789	1648
744	4796	1641
745	4801	1634
746	4807	1628
747	4812	1621
748	4818	1614
749	4823	1607
750	4828	1601
751	4834	1594
752	4840	1587
753	4847	1581
754	4853	1575
755	4860	1568
756	4868	1562
757	4874	1556
758	4885	1551
759	4900	1547
760	4913	1543
761	4918	1536
762	4924	1529
763	4929	1522
764	4935	1516
765	4940	1509
766	4946	1502
767	4951	1495
768	4957	1489
769	4963	1482
770	4968	1475
771	4974	1469
772	4979	1462
773	4985	1455
774	4994	1449
775	5000	1443
776	5007	1437
777	5013	1430
778	5019	1424
779	5025	1417
780	5030	1410
781	5036	1404
782	5042	1397
783	5048	1390
784	5055	1384
785	5061	1378
786	5068	1371
787	5073	1365
788	5080	1358
789	5086	1352
790	5091	1345
791	5098	1338
792	5104	1332
793	5110	1325
794	5116	1319
795	5121	1312
796	5127	1305
797	5132	1299
798	5138	1292
799	5143	1285
800	5149	1279
801	5154	1272
802	5160	1265
803	5166	1259
804	5173	1253
805	5180	1247
806	5188	1240
807	5193	1234
808	5199	1227
809	5205	1220
810	5211	1214
811	5217	1207
812	5223	1201
813	5234	1196
814	5241	1189
815	5246	1182
816	5253	1176
817	5258	1170
818	5264	1163
819	5269	1156
820	5275	1150
821	5280	1143
822	5285	1136
823	5291	1130
824	5296	1123
825	5302	1116
826	5307	1110
827	5312	1103
828	5318	1096
829	5323	1090
830	5328	1083
831	5335	1077
832	5341	1070
833	5347	1064
834	5354	1058
835	5361	1051
836	5366	1045
837	5372	1038
838	5377	1031
839	5383	1025
840	5388	1018
841	5395	1012
842	5401	1006
843	5407	999
844	5413	993
845	5420	986
846	5426	980
847	5432	973
848	5437	967
849	5443	960
850	5448	953
851	5453	947
852	5458	940
853	5464	934
854	5469	927
855	5474	920
856	5479	914
857	5485	907
858	5491	901
859	5496	894
860	5501	888
861	5506	881
862	5511	874
863	5518	868
864	5526	862
865	5532	856
866	5540	849
867	5545	843
868	5552	837
869	5561	830
870	5566	824
871	5571	817
872	5576	811
873	5582	804
874	5588	798
875	5596	792
876	5602	785
877	5609	779
878	5614	772
879	5620	766
880	5625	759
881	5631	753
882	5636	746
883	5642	740
884	5647	733
885	5652	727
886	5658	720
887	5663	714
888	5669	707
889	5674	701
890	5680	694
891	5686	688
892	5694	682
893	5700	675
894	5708	669
895	5714	663
896	5720	656
897	5726	650
898	5732	644
899	5738	637
900	5744	631
901	5751	624
902	5758	618
903	5766	612
904	5773	606
905	5780	599
906	5786	593
907	5793	587
908	5799	580
909	5806	574
910	5813	567
911	5819	561
912	5825	555
913	5831	548
914	5836	542
915	5842	535
916	5849	529
917	5855	523
918	5861	516
919	5868	510
920	5875	503
921	5882	497
922	5889	491
923	5896	484
924	5903	478
925	5910	472
926	5917	465
927	5924	459
928	5931	453
929	5936	446
930	5942	440
931	5947	433
932	5953	427
933	5958	421
934	5965	414
935	5970	408
936	5975	401
937	5981	395
938	5986	388
939	5992	382
940	5997	376
941	6002	369
942	6008	363
943	6013	356
944	6019	350
945	6024	343
946	6030	337
947	6035	331
948	6042	324
949	6049	318
950	6055	312
951	6063	305
952	6070	299
953	6078	293
954	6084	286
955	6091	280
956	6098	274
957	6103	267
